Police Action,District,N,Number of Records,Period,Station,Breach Type,Country,Alert Level,Area
Prosecution,Tasman,1,1,COVID-19,Franz Josef,CDEM Breach,New Zealand,3,West Coast Area
Prosecution,Waikato,1,1,COVID-19,Waihi,CDEM Breach,New Zealand,3,Waikato East Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Rotorua,CDEM Breach,New Zealand,3,Rotorua Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Papamoa,CDEM Breach,New Zealand,3,Western Bay Of Plenty Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Papakura,CDEM Breach,New Zealand,3,Counties Manukau South Area
Verbal Warning,Waikato,2,1,COVID-19,Hamilton North,CDEM Breach,New Zealand,3,Hamilton City Area
Written Warning,Auckland City,1,1,COVID-19,Mount Wellington,CDEM Breach,New Zealand,3,Auckland East Area
Written Warning,Tasman,1,1,COVID-19,Nelson Central,CDEM Breach,New Zealand,3,Nelson Bays Area
Written Warning,Waikato,1,1,COVID-19,Hamilton North,CDEM Breach,New Zealand,3,Hamilton City Area
Written Warning,Wellington,2,1,COVID-19,Masterton,CDEM Breach,New Zealand,3,Wairarapa Area
Youth Referral,Counties/Manukau,1,1,COVID-19,Papakura,CDEM Breach,New Zealand,3,Counties Manukau South Area
Prosecution,Auckland City,3,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,3,Auckland Central Area
Prosecution,Auckland City,1,1,COVID-19,Mount Wellington,Health Act Breach,New Zealand,3,Auckland East Area
Prosecution,Auckland City,2,1,COVID-19,Newmarket,Health Act Breach,New Zealand,3,Auckland East Area
Prosecution,Auckland City,2,1,COVID-19,Avondale,Health Act Breach,New Zealand,3,Auckland West Area
Prosecution,Auckland City,2,1,COVID-19,Ponsonby,Health Act Breach,New Zealand,3,Auckland West Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Taupo,Health Act Breach,New Zealand,3,Taupo Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Tokoroa,Health Act Breach,New Zealand,3,Taupo Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Turangi,Health Act Breach,New Zealand,3,Taupo Area
Prosecution,Bay Of Plenty,2,1,COVID-19,Mount Maunganui,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,3,1,COVID-19,Tauranga,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,2,1,COVID-19,Tauranga South,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,3,1,COVID-19,Te Puke,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Prosecution,Canterbury,15,1,COVID-19,Christchurch,Health Act Breach,New Zealand,3,Canterbury Metro Area
Prosecution,Canterbury,1,1,COVID-19,Christchurch Airport,Health Act Breach,New Zealand,3,Canterbury Metro Area
Prosecution,Canterbury,10,1,COVID-19,Christchurch South,Health Act Breach,New Zealand,3,Canterbury Metro Area
Prosecution,Canterbury,4,1,COVID-19,Hornby,Health Act Breach,New Zealand,3,Canterbury Metro Area
Prosecution,Canterbury,10,1,COVID-19,New Brighton,Health Act Breach,New Zealand,3,Canterbury Metro Area
Prosecution,Canterbury,15,1,COVID-19,Papanui,Health Act Breach,New Zealand,3,Canterbury Metro Area
Prosecution,Canterbury,1,1,COVID-19,Darfield,Health Act Breach,New Zealand,3,Canterbury Rural Area
Prosecution,Canterbury,3,1,COVID-19,Rolleston,Health Act Breach,New Zealand,3,Canterbury Rural Area
Prosecution,Canterbury,3,1,COVID-19,Ashburton,Health Act Breach,New Zealand,3,Mid / South Canterbury Area
Prosecution,Canterbury,1,1,COVID-19,Timaru,Health Act Breach,New Zealand,3,Mid / South Canterbury Area
Prosecution,Central,1,1,COVID-19,Feilding,Health Act Breach,New Zealand,3,Manawatu Area
Prosecution,Central,1,1,COVID-19,Hawera,Health Act Breach,New Zealand,3,Taranaki Area
Prosecution,Central,1,1,COVID-19,New Plymouth Central,Health Act Breach,New Zealand,3,Taranaki Area
Prosecution,Central,1,1,COVID-19,Marton,Health Act Breach,New Zealand,3,Whanganui Area
Prosecution,Central,1,1,COVID-19,Ohakune,Health Act Breach,New Zealand,3,Whanganui Area
Prosecution,Central,7,1,COVID-19,Taumarunui,Health Act Breach,New Zealand,3,Whanganui Area
Prosecution,Central,6,1,COVID-19,Whanganui,Health Act Breach,New Zealand,3,Whanganui Area
Prosecution,Counties/Manukau,5,1,COVID-19,Manurewa,Health Act Breach,New Zealand,3,Counties Manukau Central Area
Prosecution,Counties/Manukau,1,1,COVID-19,Howick,Health Act Breach,New Zealand,3,Counties Manukau East Area
Prosecution,Counties/Manukau,4,1,COVID-19,Otara,Health Act Breach,New Zealand,3,Counties Manukau East Area
Prosecution,Counties/Manukau,7,1,COVID-19,Papakura,Health Act Breach,New Zealand,3,Counties Manukau South Area
Prosecution,Counties/Manukau,2,1,COVID-19,Pukekohe,Health Act Breach,New Zealand,3,Counties Manukau South Area
Prosecution,Counties/Manukau,1,1,COVID-19,Tuakau,Health Act Breach,New Zealand,3,Counties Manukau South Area
Prosecution,Counties/Manukau,2,1,COVID-19,Waiuku,Health Act Breach,New Zealand,3,Counties Manukau South Area
Prosecution,Counties/Manukau,8,1,COVID-19,Mangere,Health Act Breach,New Zealand,3,Counties Manukau West Area
Prosecution,Counties/Manukau,3,1,COVID-19,Otahuhu,Health Act Breach,New Zealand,3,Counties Manukau West Area
Prosecution,Counties/Manukau,4,1,COVID-19,Papatoetoe,Health Act Breach,New Zealand,3,Counties Manukau West Area
Prosecution,Eastern,1,1,COVID-19,Clive,Health Act Breach,New Zealand,3,Hawkes Bay Area
Prosecution,Eastern,3,1,COVID-19,Hastings,Health Act Breach,New Zealand,3,Hawkes Bay Area
Prosecution,Eastern,4,1,COVID-19,Napier,Health Act Breach,New Zealand,3,Hawkes Bay Area
Prosecution,Eastern,3,1,COVID-19,Gisborne,Health Act Breach,New Zealand,3,Tairawhiti Area
Prosecution,Northland,1,1,COVID-19,Kerikeri,Health Act Breach,New Zealand,3,Far North Area
Prosecution,Northland,1,1,COVID-19,Kamo Cpc,Health Act Breach,New Zealand,3,Whangarei Area
Prosecution,Northland,1,1,COVID-19,Ruakaka,Health Act Breach,New Zealand,3,Whangarei Area
Prosecution,Northland,2,1,COVID-19,Whangarei,Health Act Breach,New Zealand,3,Whangarei Area
Prosecution,Southern,1,1,COVID-19,Balclutha,Health Act Breach,New Zealand,3,Otago Coastal Area
Prosecution,Southern,1,1,COVID-19,Green Island,Health Act Breach,New Zealand,3,Otago Coastal Area
Prosecution,Southern,2,1,COVID-19,Milton,Health Act Breach,New Zealand,3,Otago Coastal Area
Prosecution,Southern,2,1,COVID-19,Mosgiel,Health Act Breach,New Zealand,3,Otago Coastal Area
Prosecution,Southern,6,1,COVID-19,Oamaru,Health Act Breach,New Zealand,3,Otago Coastal Area
Prosecution,Southern,6,1,COVID-19,Alexandra,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Prosecution,Southern,4,1,COVID-19,Queenstown,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Prosecution,Southern,1,1,COVID-19,Invercargill Central,Health Act Breach,New Zealand,3,Southland Area
Prosecution,Tasman,1,1,COVID-19,Blenheim,Health Act Breach,New Zealand,3,Marlborough Area
Prosecution,Tasman,2,1,COVID-19,Picton,Health Act Breach,New Zealand,3,Marlborough Area
Prosecution,Tasman,4,1,COVID-19,Nelson Central,Health Act Breach,New Zealand,3,Nelson Bays Area
Prosecution,Tasman,4,1,COVID-19,Richmond,Health Act Breach,New Zealand,3,Nelson Bays Area
Prosecution,Tasman,3,1,COVID-19,Greymouth,Health Act Breach,New Zealand,3,West Coast Area
Prosecution,Tasman,2,1,COVID-19,Hokitika,Health Act Breach,New Zealand,3,West Coast Area
Prosecution,Tasman,2,1,COVID-19,Westport,Health Act Breach,New Zealand,3,West Coast Area
Prosecution,Waikato,1,1,COVID-19,Hamilton East,Health Act Breach,New Zealand,3,Hamilton City Area
Prosecution,Waikato,4,1,COVID-19,Hamilton North,Health Act Breach,New Zealand,3,Hamilton City Area
Prosecution,Waikato,2,1,COVID-19,Te Awamutu,Health Act Breach,New Zealand,3,Waikato West Area
Prosecution,Waitemata,1,1,COVID-19,Glenfield,Health Act Breach,New Zealand,3,Waitemata East Area
Prosecution,Waitemata,2,1,COVID-19,Orewa,Health Act Breach,New Zealand,3,Waitemata North Area
Prosecution,Waitemata,1,1,COVID-19,Henderson,Health Act Breach,New Zealand,3,Waitemata West Area
Prosecution,Wellington,3,1,COVID-19,Lower Hutt,Health Act Breach,New Zealand,3,Hutt Valley Area
Prosecution,Wellington,5,1,COVID-19,Naenae,Health Act Breach,New Zealand,3,Hutt Valley Area
Prosecution,Wellington,1,1,COVID-19,Petone,Health Act Breach,New Zealand,3,Hutt Valley Area
Prosecution,Wellington,1,1,COVID-19,Upper Hutt,Health Act Breach,New Zealand,3,Hutt Valley Area
Prosecution,Wellington,2,1,COVID-19,Wainuiomata,Health Act Breach,New Zealand,3,Hutt Valley Area
Prosecution,Wellington,4,1,COVID-19,Kapiti,Health Act Breach,New Zealand,3,Kapiti-Mana Area
Prosecution,Wellington,2,1,COVID-19,Porirua Central,Health Act Breach,New Zealand,3,Kapiti-Mana Area
Prosecution,Wellington,6,1,COVID-19,Waitangirua,Health Act Breach,New Zealand,3,Kapiti-Mana Area
Prosecution,Wellington,1,1,COVID-19,Masterton,Health Act Breach,New Zealand,3,Wairarapa Area
Prosecution,Wellington,2,1,COVID-19,Johnsonville,Health Act Breach,New Zealand,3,Wellington Area
Prosecution,Wellington,3,1,COVID-19,Kilbirnie,Health Act Breach,New Zealand,3,Wellington Area
Prosecution,Wellington,8,1,COVID-19,Wellington Central,Health Act Breach,New Zealand,3,Wellington Area
Verbal Warning,Auckland City,9,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,3,Auckland Central Area
Verbal Warning,Auckland City,5,1,COVID-19,Newmarket,Health Act Breach,New Zealand,3,Auckland East Area
Verbal Warning,Auckland City,1,1,COVID-19,Avondale,Health Act Breach,New Zealand,3,Auckland West Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Putaruru,Health Act Breach,New Zealand,3,Taupo Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Tokoroa,Health Act Breach,New Zealand,3,Taupo Area
Verbal Warning,Bay Of Plenty,3,1,COVID-19,Katikati,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,4,1,COVID-19,Mount Maunganui,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Papamoa,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,2,1,COVID-19,Tauranga,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,2,1,COVID-19,Tauranga South,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Verbal Warning,Canterbury,1,1,COVID-19,Christchurch,Health Act Breach,New Zealand,3,Canterbury Metro Area
Verbal Warning,Canterbury,5,1,COVID-19,Hornby,Health Act Breach,New Zealand,3,Canterbury Metro Area
Verbal Warning,Canterbury,2,1,COVID-19,Papanui,Health Act Breach,New Zealand,3,Canterbury Metro Area
Verbal Warning,Canterbury,1,1,COVID-19,Timaru,Health Act Breach,New Zealand,3,Mid / South Canterbury Area
Verbal Warning,Central,2,1,COVID-19,Norsewood,Health Act Breach,New Zealand,3,Manawatu Area
Verbal Warning,Central,3,1,COVID-19,Eltham,Health Act Breach,New Zealand,3,Taranaki Area
Verbal Warning,Central,2,1,COVID-19,New Plymouth Central,Health Act Breach,New Zealand,3,Taranaki Area
Verbal Warning,Central,2,1,COVID-19,Stratford,Health Act Breach,New Zealand,3,Taranaki Area
Verbal Warning,Central,6,1,COVID-19,Taumarunui,Health Act Breach,New Zealand,3,Whanganui Area
Verbal Warning,Central,1,1,COVID-19,Waiouru,Health Act Breach,New Zealand,3,Whanganui Area
Verbal Warning,Counties/Manukau,11,1,COVID-19,Manurewa,Health Act Breach,New Zealand,3,Counties Manukau Central Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Beachlands Ccb,Health Act Breach,New Zealand,3,Counties Manukau East Area
Verbal Warning,Counties/Manukau,8,1,COVID-19,Howick,Health Act Breach,New Zealand,3,Counties Manukau East Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Otara,Health Act Breach,New Zealand,3,Counties Manukau East Area
Verbal Warning,Counties/Manukau,4,1,COVID-19,Papakura,Health Act Breach,New Zealand,3,Counties Manukau South Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Pukekohe,Health Act Breach,New Zealand,3,Counties Manukau South Area
Verbal Warning,Counties/Manukau,6,1,COVID-19,Tuakau,Health Act Breach,New Zealand,3,Counties Manukau South Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Auckland Airport,Health Act Breach,New Zealand,3,Counties Manukau West Area
Verbal Warning,Counties/Manukau,29,1,COVID-19,Mangere,Health Act Breach,New Zealand,3,Counties Manukau West Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Otahuhu,Health Act Breach,New Zealand,3,Counties Manukau West Area
Verbal Warning,Counties/Manukau,5,1,COVID-19,Papatoetoe,Health Act Breach,New Zealand,3,Counties Manukau West Area
Verbal Warning,Eastern,2,1,COVID-19,Hastings,Health Act Breach,New Zealand,3,Hawkes Bay Area
Verbal Warning,Eastern,3,1,COVID-19,Napier,Health Act Breach,New Zealand,3,Hawkes Bay Area
Verbal Warning,Eastern,2,1,COVID-19,Gisborne,Health Act Breach,New Zealand,3,Tairawhiti Area
Verbal Warning,Northland,1,1,COVID-19,Kaeo,Health Act Breach,New Zealand,3,Far North Area
Verbal Warning,Northland,1,1,COVID-19,Maungaturoto,Health Act Breach,New Zealand,3,Whangarei Area
Verbal Warning,Northland,1,1,COVID-19,Whangarei,Health Act Breach,New Zealand,3,Whangarei Area
Verbal Warning,Southern,2,1,COVID-19,Dunedin South,Health Act Breach,New Zealand,3,Otago Coastal Area
Verbal Warning,Southern,6,1,COVID-19,Green Island,Health Act Breach,New Zealand,3,Otago Coastal Area
Verbal Warning,Southern,1,1,COVID-19,Mosgiel,Health Act Breach,New Zealand,3,Otago Coastal Area
Verbal Warning,Southern,1,1,COVID-19,Alexandra,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Verbal Warning,Southern,4,1,COVID-19,Queenstown,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Verbal Warning,Southern,2,1,COVID-19,Ranfurly,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Verbal Warning,Tasman,2,1,COVID-19,Blenheim,Health Act Breach,New Zealand,3,Marlborough Area
Verbal Warning,Tasman,3,1,COVID-19,Picton,Health Act Breach,New Zealand,3,Marlborough Area
Verbal Warning,Tasman,3,1,COVID-19,Karamea,Health Act Breach,New Zealand,3,West Coast Area
Verbal Warning,Tasman,2,1,COVID-19,Westport,Health Act Breach,New Zealand,3,West Coast Area
Verbal Warning,Waikato,4,1,COVID-19,Hamilton Central,Health Act Breach,New Zealand,3,Hamilton City Area
Verbal Warning,Waikato,4,1,COVID-19,Hamilton East,Health Act Breach,New Zealand,3,Hamilton City Area
Verbal Warning,Waikato,2,1,COVID-19,Hamilton North,Health Act Breach,New Zealand,3,Hamilton City Area
Verbal Warning,Waikato,1,1,COVID-19,Matamata,Health Act Breach,New Zealand,3,Waikato East Area
Verbal Warning,Waikato,1,1,COVID-19,Paeroa,Health Act Breach,New Zealand,3,Waikato East Area
Verbal Warning,Waikato,3,1,COVID-19,Tairua,Health Act Breach,New Zealand,3,Waikato East Area
Verbal Warning,Waikato,3,1,COVID-19,Thames,Health Act Breach,New Zealand,3,Waikato East Area
Verbal Warning,Waikato,3,1,COVID-19,Waihi,Health Act Breach,New Zealand,3,Waikato East Area
Verbal Warning,Waikato,8,1,COVID-19,Cambridge,Health Act Breach,New Zealand,3,Waikato West Area
Verbal Warning,Waikato,1,1,COVID-19,Ngaruawahia,Health Act Breach,New Zealand,3,Waikato West Area
Verbal Warning,Waikato,1,1,COVID-19,Te Kuiti,Health Act Breach,New Zealand,3,Waikato West Area
Verbal Warning,Waitemata,1,1,COVID-19,Browns Bay,Health Act Breach,New Zealand,3,Waitemata East Area
Verbal Warning,Waitemata,6,1,COVID-19,Glenfield,Health Act Breach,New Zealand,3,Waitemata East Area
Verbal Warning,Waitemata,3,1,COVID-19,North Shore Policing Centre,Health Act Breach,New Zealand,3,Waitemata East Area
Verbal Warning,Waitemata,1,1,COVID-19,Henderson,Health Act Breach,New Zealand,3,Waitemata West Area
Verbal Warning,Waitemata,1,1,COVID-19,Massey,Health Act Breach,New Zealand,3,Waitemata West Area
Verbal Warning,Wellington,4,1,COVID-19,Lower Hutt,Health Act Breach,New Zealand,3,Hutt Valley Area
Verbal Warning,Wellington,2,1,COVID-19,Naenae,Health Act Breach,New Zealand,3,Hutt Valley Area
Verbal Warning,Wellington,1,1,COVID-19,Upper Hutt,Health Act Breach,New Zealand,3,Hutt Valley Area
Verbal Warning,Wellington,6,1,COVID-19,Waitangirua,Health Act Breach,New Zealand,3,Kapiti-Mana Area
Verbal Warning,Wellington,1,1,COVID-19,Kilbirnie,Health Act Breach,New Zealand,3,Wellington Area
Verbal Warning,Wellington,4,1,COVID-19,Wellington Central,Health Act Breach,New Zealand,3,Wellington Area
Written Warning,Auckland City,27,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,3,Auckland Central Area
Written Warning,Auckland City,11,1,COVID-19,Glen Innes,Health Act Breach,New Zealand,3,Auckland East Area
Written Warning,Auckland City,3,1,COVID-19,Mount Wellington,Health Act Breach,New Zealand,3,Auckland East Area
Written Warning,Auckland City,2,1,COVID-19,Newmarket,Health Act Breach,New Zealand,3,Auckland East Area
Written Warning,Auckland City,7,1,COVID-19,Avondale,Health Act Breach,New Zealand,3,Auckland West Area
Written Warning,Auckland City,4,1,COVID-19,Balmoral,Health Act Breach,New Zealand,3,Auckland West Area
Written Warning,Bay Of Plenty,2,1,COVID-19,Kawerau,Health Act Breach,New Zealand,3,Eastern Bay Of Plenty Area
Written Warning,Bay Of Plenty,3,1,COVID-19,Opotiki,Health Act Breach,New Zealand,3,Eastern Bay Of Plenty Area
Written Warning,Bay Of Plenty,1,1,COVID-19,Te Kaha,Health Act Breach,New Zealand,3,Eastern Bay Of Plenty Area
Written Warning,Bay Of Plenty,7,1,COVID-19,Putaruru,Health Act Breach,New Zealand,3,Taupo Area
Written Warning,Bay Of Plenty,30,1,COVID-19,Taupo,Health Act Breach,New Zealand,3,Taupo Area
Written Warning,Bay Of Plenty,8,1,COVID-19,Tokoroa,Health Act Breach,New Zealand,3,Taupo Area
Written Warning,Bay Of Plenty,2,1,COVID-19,Turangi,Health Act Breach,New Zealand,3,Taupo Area
Written Warning,Bay Of Plenty,2,1,COVID-19,Katikati,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Written Warning,Bay Of Plenty,4,1,COVID-19,Tauranga,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Written Warning,Bay Of Plenty,1,1,COVID-19,Tauranga South,Health Act Breach,New Zealand,3,Western Bay Of Plenty Area
Written Warning,Canterbury,10,1,COVID-19,Christchurch,Health Act Breach,New Zealand,3,Canterbury Metro Area
Written Warning,Canterbury,2,1,COVID-19,Christchurch Airport,Health Act Breach,New Zealand,3,Canterbury Metro Area
Written Warning,Canterbury,5,1,COVID-19,Christchurch South,Health Act Breach,New Zealand,3,Canterbury Metro Area
Written Warning,Canterbury,6,1,COVID-19,New Brighton,Health Act Breach,New Zealand,3,Canterbury Metro Area
Written Warning,Canterbury,3,1,COVID-19,Papanui,Health Act Breach,New Zealand,3,Canterbury Metro Area
Written Warning,Canterbury,1,1,COVID-19,Leeston,Health Act Breach,New Zealand,3,Canterbury Rural Area
Written Warning,Canterbury,3,1,COVID-19,Rolleston,Health Act Breach,New Zealand,3,Canterbury Rural Area
Written Warning,Canterbury,1,1,COVID-19,Waikari,Health Act Breach,New Zealand,3,Canterbury Rural Area
Written Warning,Canterbury,3,1,COVID-19,Ashburton,Health Act Breach,New Zealand,3,Mid / South Canterbury Area
Written Warning,Central,1,1,COVID-19,Ashhurst,Health Act Breach,New Zealand,3,Manawatu Area
Written Warning,Central,1,1,COVID-19,Feilding,Health Act Breach,New Zealand,3,Manawatu Area
Written Warning,Central,3,1,COVID-19,Highbury,Health Act Breach,New Zealand,3,Manawatu Area
Written Warning,Central,5,1,COVID-19,Levin,Health Act Breach,New Zealand,3,Manawatu Area
Written Warning,Central,2,1,COVID-19,Otaki,Health Act Breach,New Zealand,3,Manawatu Area
Written Warning,Central,6,1,COVID-19,Palmerston North,Health Act Breach,New Zealand,3,Manawatu Area
Written Warning,Central,4,1,COVID-19,Rossmont Cpc,Health Act Breach,New Zealand,3,Manawatu Area
Written Warning,Central,9,1,COVID-19,New Plymouth Central,Health Act Breach,New Zealand,3,Taranaki Area
Written Warning,Central,1,1,COVID-19,Waitara,Health Act Breach,New Zealand,3,Taranaki Area
Written Warning,Central,2,1,COVID-19,Westown,Health Act Breach,New Zealand,3,Taranaki Area
Written Warning,Central,4,1,COVID-19,Bulls,Health Act Breach,New Zealand,3,Whanganui Area
Written Warning,Central,1,1,COVID-19,Raetihi,Health Act Breach,New Zealand,3,Whanganui Area
Written Warning,Central,5,1,COVID-19,Taumarunui,Health Act Breach,New Zealand,3,Whanganui Area
Written Warning,Central,3,1,COVID-19,Waverley,Health Act Breach,New Zealand,3,Whanganui Area
Written Warning,Central,14,1,COVID-19,Whanganui,Health Act Breach,New Zealand,3,Whanganui Area
Written Warning,Counties/Manukau,41,1,COVID-19,Manurewa,Health Act Breach,New Zealand,3,Counties Manukau Central Area
Written Warning,Counties/Manukau,5,1,COVID-19,Howick,Health Act Breach,New Zealand,3,Counties Manukau East Area
Written Warning,Counties/Manukau,1,1,COVID-19,Otara,Health Act Breach,New Zealand,3,Counties Manukau East Area
Written Warning,Counties/Manukau,6,1,COVID-19,Papakura,Health Act Breach,New Zealand,3,Counties Manukau South Area
Written Warning,Counties/Manukau,2,1,COVID-19,Pukekohe,Health Act Breach,New Zealand,3,Counties Manukau South Area
Written Warning,Counties/Manukau,2,1,COVID-19,Tuakau,Health Act Breach,New Zealand,3,Counties Manukau South Area
Written Warning,Counties/Manukau,1,1,COVID-19,Waiuku,Health Act Breach,New Zealand,3,Counties Manukau South Area
Written Warning,Counties/Manukau,2,1,COVID-19,Auckland Airport,Health Act Breach,New Zealand,3,Counties Manukau West Area
Written Warning,Counties/Manukau,33,1,COVID-19,Mangere,Health Act Breach,New Zealand,3,Counties Manukau West Area
Written Warning,Counties/Manukau,21,1,COVID-19,Otahuhu,Health Act Breach,New Zealand,3,Counties Manukau West Area
Written Warning,Counties/Manukau,11,1,COVID-19,Papatoetoe,Health Act Breach,New Zealand,3,Counties Manukau West Area
Written Warning,Eastern,1,1,COVID-19,Clive,Health Act Breach,New Zealand,3,Hawkes Bay Area
Written Warning,Eastern,2,1,COVID-19,Flaxmere,Health Act Breach,New Zealand,3,Hawkes Bay Area
Written Warning,Eastern,7,1,COVID-19,Hastings,Health Act Breach,New Zealand,3,Hawkes Bay Area
Written Warning,Eastern,5,1,COVID-19,Napier,Health Act Breach,New Zealand,3,Hawkes Bay Area
Written Warning,Eastern,2,1,COVID-19,Taradale,Health Act Breach,New Zealand,3,Hawkes Bay Area
Written Warning,Eastern,7,1,COVID-19,Gisborne,Health Act Breach,New Zealand,3,Tairawhiti Area
Written Warning,Northland,1,1,COVID-19,Kawakawa,Health Act Breach,New Zealand,3,Far North Area
Written Warning,Northland,5,1,COVID-19,Kerikeri,Health Act Breach,New Zealand,3,Far North Area
Written Warning,Northland,2,1,COVID-19,Dargaville,Health Act Breach,New Zealand,3,Whangarei Area
Written Warning,Northland,2,1,COVID-19,Maungaturoto,Health Act Breach,New Zealand,3,Whangarei Area
Written Warning,Northland,2,1,COVID-19,Whangarei,Health Act Breach,New Zealand,3,Whangarei Area
Written Warning,Southern,3,1,COVID-19,Balclutha,Health Act Breach,New Zealand,3,Otago Coastal Area
Written Warning,Southern,1,1,COVID-19,Clinton,Health Act Breach,New Zealand,3,Otago Coastal Area
Written Warning,Southern,1,1,COVID-19,Dunedin Central,Health Act Breach,New Zealand,3,Otago Coastal Area
Written Warning,Southern,1,1,COVID-19,Dunedin South,Health Act Breach,New Zealand,3,Otago Coastal Area
Written Warning,Southern,1,1,COVID-19,Milton,Health Act Breach,New Zealand,3,Otago Coastal Area
Written Warning,Southern,2,1,COVID-19,Mosgiel,Health Act Breach,New Zealand,3,Otago Coastal Area
Written Warning,Southern,1,1,COVID-19,Oamaru,Health Act Breach,New Zealand,3,Otago Coastal Area
Written Warning,Southern,2,1,COVID-19,Palmerston,Health Act Breach,New Zealand,3,Otago Coastal Area
Written Warning,Southern,1,1,COVID-19,Waikouaiti,Health Act Breach,New Zealand,3,Otago Coastal Area
Written Warning,Southern,3,1,COVID-19,Alexandra,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Written Warning,Southern,8,1,COVID-19,Queenstown,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Written Warning,Southern,13,1,COVID-19,Wanaka,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Written Warning,Southern,1,1,COVID-19,Gore,Health Act Breach,New Zealand,3,Southland Area
Written Warning,Southern,7,1,COVID-19,Invercargill Central,Health Act Breach,New Zealand,3,Southland Area
Written Warning,Southern,1,1,COVID-19,Mataura,Health Act Breach,New Zealand,3,Southland Area
